adId,Price,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1505846093,1775,apartment,1,0.0, '1 an',na,0.0,,0,0.0,na,52,H3V 1C8,-73.6177,45.4965,Côte-des-Neiges East,1589
1505846100,1015,apartment,1,0.0, '1 an',na,0.0,,0,0.0,3 1/2,51,H3V 1C8,-73.6177,45.4965,Côte-des-Neiges East,1701
1505846102,1499,apartment,1,0.0, '1 an',na,0.0,,0,0.0,4 1/2,52,H3V 1C8,-73.6177,45.4965,Côte-des-Neiges East,1689
1569853211,1050,apartment,1,0.0, '1 an',june,0.0,680.0,0,0.0,na,37,H3M 3B3,-73.6979,45.5459,Cartierville Northeast,759
1569852398,1475,apartment,1,0.0, '1 an',july,1.0,,0,1.0,na,61,H3C 0G1,-73.5679,45.503,Griffintown (Includes Île Notre-Dame & Île Sainte-Hélène),496
1569843182,2145,apartment,1,0.0, '1 an',june,1.0,700.0,0,0.0,condo,54,H2H 1A6,-73.5837,45.5377,Plateau Mont-Royal North,1112
1569849912,1350,apartment,1,0.0, '1 an',june,1.0,800.0,1,1.0,3 1/2,57,H3H 1N5,-73.5967,45.5123,Downtown Montreal South & West,884
1569845910,1295,apartment,1,0.0, '1 an',june,1.0,1000.0,0,0.0,4 1/2,60,H2K 3E5,-73.5672,45.53,Centre-Sud North,478
1569852056,1135,apartment,1,0.0, '1 an',august,1.0,600.0,0,0.0,na,61,H4J 2M4,-73.7231,45.5353,Cartierville Central,4133
1569852085,990,apartment,1,0.0, '1 an',august,0.0,,0,0.0,na,44,H4J 2M4,-73.7231,45.5353,Cartierville Central,4133
1505846065,2725,apartment,1,1.0, '1 an',august,0.0,1400.0,0,1.0,na,55,H3W 2H1,-73.6442,45.4988,Côte-des-Neiges Southwest,554
1561044862,2995,apartment,1,1.0, '1 an',august,0.0,18001.0,0,0.0,na,54,H3W 2H1,-73.6442,45.4988,Côte-des-Neiges Southwest,153
1553967192,2125,apartment,1,1.0, '1 an',august,0.0,1300.0,0,1.0,na,62,H3W 2H1,-73.6442,45.4988,Côte-des-Neiges Southwest,1550
1506847165,1295,apartment,1,0.0, '1 an',september,0.0,590.0,0,0.0,na,38,H3W 2H1,-73.6442,45.4988,Côte-des-Neiges Southwest,571
1567299480,1395,apartment,1,0.0, '1 an',july,0.0,700.0,1,0.0,na,47,H2T 1P5,-73.6024,45.5278,Plateau Mont-Royal West,1422
1569852972,1550,apartment,1,1.0, '1 an',july,1.0,1100.0,0,0.0,na,32,H9C1T3,-73.9012,45.5141,L'Île Bizard Northeast,261
1569852916,3100,apartment,1,1.0, '1 an',june,1.0,1300.0,0,1.0,na,56,H3Z2E7,-73.5885,45.4909,Westmount East,635
1569852795,995,apartment,1,0.0, '1 an',july,1.0,800.0,0,0.0,na,50,H4J2G6,-73.7231,45.5353,Cartierville Central,1565
1559155401,1495,apartment,5,0.0, '1 an',june,0.0,900.0,0,0.0,4 1/2,48,H2J 3J6,-73.5928,45.5289,Plateau Mont-Royal North Central,589
1569575984,1475,apartment,1,0.0, '1 an',july,1.0,1100.0,1,0.0,na,26,H3N 1S8,-73.6464,45.5335,Parc-Extension,1072
1568304226,1128,apartment,10,1.0, '1 an',july,1.0,900.0,0,0.0,4 1/2,17,H4A 3H3,-73.6252,45.4781,Notre-Dame-de-Grâce Northeast,189
1544404778,1250,apartment,18,0.0, '1 an',january,0.0,500.0,1,1.0,3 1/2,55,H1V 2L9,-73.551,45.5702,Maisonneuve,1102
1529772915,899,apartment,23,0.0, '1 an',august,1.0,450.0,0,0.0,na,58,H3E 1B5,-73.5457,45.4679,L'Île-Des-Soeurs,4753
1569852578,500,Room,1,,,na,0.0,,0,0.0,na,41,H2M1Y3,-73.6515,45.55,Ahuntsic East,2466
1569852361,380,Room,1,,,na,0.0,,0,0.0,na,29,H1W3L2,-73.5616,45.5423,Hochelaga,630
1569852328,2500,apartment,1,1.0, '1 an',july,1.0,1023.0,0,1.0,na,63,H3C 1X6,-73.5679,45.503,Griffintown (Includes Île Notre-Dame & Île Sainte-Hélène),983
1569852300,1200,apartment,1,0.0, '1 an',july,0.0,350.0,1,0.0,na,47,H2R 2P6,-73.6266,45.5452,Villeray Southeast,140
1569852266,925,apartment,1,0.0, '1 an',june,0.0,540.0,0,0.0,3 1/2,53,H2G 1E4,-73.6061,45.5434,Petite-Patrie Northeast,185
1569852241,1250,apartment,1,0.0, '1 an',july,0.0,650.0,1,1.0,4 1/2,49,H2A 1X5,-73.6118,45.5583,Saint-Michel East,5741
1569850593,833,apartment,1,0.0, '1 an',na,0.0,,0,,studio,59,H2K 2H7,-73.5672,45.53,Centre-Sud North,2043
1569849864,1750,apartment,1,0.0, '1 an',june,1.0,1100.0,0,0.0,na,42,H1X 2G1,-73.5935,45.5577,Rosemont Central,1342
1569850203,1450,apartment,1,0.0, '1 an',june,1.0,1700.0,0,0.0,na,49,H2M 1Y5,-73.6515,45.55,Ahuntsic East,1091
1569851320,1250,apartment,1,0.0, '1 an',june,1.0,700.0,0,0.0,4 1/2,53,H2K 1B8,-73.5672,45.53,Centre-Sud North,1052
1569852054,915,apartment,1,0.0, '1 an',july,0.0,1200.0,0,0.0,4 1/2,35,H1G 4L5,-73.6389,45.6061,Montreal North North,646
1569851993,425,Room,1,,,na,0.0,,0,0.0,na,63,H1N 2R3,-73.5499,45.5719,Mercier Southeast,852
1568549337,1025,apartment,1,0.0, '1 an',july,0.0,,1,0.0,na,39,H1W 3P5,-73.5616,45.5423,Hochelaga,506
1565898716,710,apartment,1,0.0, '1 an',na,0.0,,0,0.0,2 1/2,43,H1V 1Z4,-73.551,45.5702,Maisonneuve,544
1567346029,995,apartment,1,0.0, '1 an',july,1.0,,1,0.0,4 1/2,31,H1W 3P5,-73.5616,45.5423,Hochelaga,371
1569851960,965,apartment,1,0.0, '1 an',july,1.0,600.0,0,0.0,4 1/2,18,H2G 1N4,-73.6061,45.5434,Petite-Patrie Northeast,205
1569851864,1320,apartment,1,0.0, '1 an',june,0.0,450.0,1,1.0,condo,64,H2X 2R4,-73.5739,45.5148,Plateau Mont-Royal Southeast,3941
1569851785,1650,apartment,1,0.0, '1 an',june,1.0,1000.0,0,0.0,na,19,H1W 3P4,-73.5616,45.5423,Hochelaga,51
1569851765,995,apartment,1,0.0, '1 an',august,1.0,750.0,0,0.0,na,64,H2G 2A9,-73.6061,45.5434,Petite-Patrie Northeast,1068
1569851751,1695,apartment,1,0.0, '1 an',july,1.0,800.0,0,1.0,condo,51,H2S 3A9,-73.6144,45.5356,Petite-Patrie Southwest,679
1562061832,985,apartment,1,0.0, '1 an',july,1.0,,0,0.0,na,49,H3X 2B5,-73.6483,45.4915,Hampstead,1593
1561528750,1025,apartment,1,0.0, '1 an',april,0.0,,0,0.0,na,52,H4P 1B2,-73.6722,45.4991,Mount Royal South,1153
1561528936,1350,apartment,1,0.0, '1 an',na,0.0,,0,,na,64,H3R 1B3,-73.6545,45.5181,Mount Royal Central,1462
1561528937,1900,apartment,1,0.0, '1 an',na,0.0,,0,,na,64,H3R 1B3,-73.6545,45.5181,Mount Royal Central,1460
1557136173,795,apartment,1,0.0, '1 an',july,0.0,,0,0.0,2 1/2,47,H3Z 1V7,-73.5885,45.4909,Westmount East,1354
1557310712,2150,apartment,1,0.0, '1 an',may,1.0,,0,0.0,na,58,H4A 2W2,-73.6252,45.4781,Notre-Dame-de-Grâce Northeast,1474
1569579369,1675,apartment,1,1.0, '1 an',july,1.0,600.0,0,1.0,na,42,H3K 2H2,-73.564,45.4858,Pointe-Saint-Charles,1603
1569851356,1320,apartment,1,0.0, '1 an',june,0.0,450.0,1,1.0,condo,64,H2X 2R4,-73.5739,45.5148,Plateau Mont-Royal Southeast,3941
1569851292,1350,apartment,1,0.0, '1 an',july,0.0,650.0,1,1.0,4 1/2,48,H2A 1X5,-73.6118,45.5583,Saint-Michel East,6704
