,Price,longitude,latitude,geometry
880,500.0,,,POINT (nan nan)
881,1095.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
882,785.0,-73.6389,45.6061,POINT (-73.63890000000001 45.6061)
883,1400.0,-73.5869,45.5653,POINT (-73.5869 45.5653)
884,1820.0,-73.616,45.5115,POINT (-73.616 45.5115)
885,1700.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
886,1800.0,-73.5869,45.5653,POINT (-73.5869 45.5653)
887,700.0,-73.5672,45.53,POINT (-73.5672 45.53)
888,1350.0,-73.616,45.5115,POINT (-73.616 45.5115)
889,1095.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
890,820.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
891,800.0,-73.6153,45.5298,POINT (-73.6153 45.5298)
892,250.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
893,730.0,-73.6557,45.4473,POINT (-73.6557 45.4473)
894,1100.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
895,1550.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
896,3020.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
897,1325.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
898,1150.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
899,1800.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
900,1595.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
901,1050.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
902,1630.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
903,1095.0,-73.6418,45.5409,POINT (-73.6418 45.5409)
904,1250.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
905,1095.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
906,1690.0,-73.551,45.5702,POINT (-73.551 45.5702)
907,2900.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
908,760.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
909,825.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
910,1195.0,-73.5672,45.53,POINT (-73.5672 45.53)
911,1095.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
912,1495.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
